2025-12-09 16:02:07.219 - INFO - -----------------------------------------------------
2025-12-09 16:02:07.219 - INFO - Začátek
2025-12-09 16:02:07.219 - DEBUG - load_config : Configuration loaded: 2 scanner(s) from /home/user/at_scanner/scan_rs232.json
2025-12-09 16:02:07.220 - INFO - Starting 2 scanner(s)...
2025-12-09 16:02:07.220 - INFO - Initializing Scanner-1 on port /dev/ttyMOXA_left
2025-12-09 16:02:07.220 - INFO - Initializing Scanner-2 on port /dev/ttyMOXA_right
2025-12-09 16:02:07.260 - INFO - Scanner-2 (/dev/ttyMOXA_right): Listening for barcodes...
2025-12-09 16:02:07.264 - INFO - Scanner-1 (/dev/ttyMOXA_left): Listening for barcodes...
2025-12-09 16:02:17.298 - DEBUG - cteni_z_opc : Začátek
2025-12-09 16:02:17.300 - DEBUG - cteni_z_opc : Začátek
2025-12-09 16:02:17.341 - DEBUG - cteni_z_opc : 2
2025-12-09 16:02:17.346 - DEBUG - zapis_do_opc : Začátek
2025-12-09 16:02:17.349 - DEBUG - cteni_z_opc : 2
2025-12-09 16:02:17.356 - DEBUG - zapis_do_opc : Začátek
2025-12-09 16:02:17.363 - DEBUG - zapis_do_opc : 3
2025-12-09 16:02:17.374 - DEBUG - zapis_do_opc : 3
2025-12-09 16:02:27.406 - DEBUG - cteni_z_opc : Začátek
2025-12-09 16:02:27.413 - DEBUG - cteni_z_opc : Začátek
2025-12-09 16:02:27.433 - DEBUG - cteni_z_opc : 3
2025-12-09 16:02:27.434 - DEBUG - cteni_z_opc : 3
2025-12-09 16:02:27.437 - DEBUG - zapis_do_opc : Začátek
2025-12-09 16:02:27.448 - DEBUG - zapis_do_opc : Začátek
2025-12-09 16:02:27.456 - DEBUG - zapis_do_opc : 4
2025-12-09 16:02:27.472 - DEBUG - zapis_do_opc : 4
2025-12-09 16:02:37.497 - DEBUG - cteni_z_opc : Začátek
2025-12-09 16:02:37.510 - DEBUG - cteni_z_opc : Začátek
2025-12-09 16:02:37.516 - DEBUG - cteni_z_opc : 4
2025-12-09 16:02:37.522 - DEBUG - zapis_do_opc : Začátek
2025-12-09 16:02:37.533 - DEBUG - cteni_z_opc : 4
2025-12-09 16:02:37.538 - DEBUG - zapis_do_opc : 5
2025-12-09 16:02:37.538 - DEBUG - zapis_do_opc : Začátek
2025-12-09 16:02:37.551 - DEBUG - zapis_do_opc : 5
2025-12-09 16:02:47.576 - DEBUG - cteni_z_opc : Začátek
2025-12-09 16:02:47.587 - DEBUG - cteni_z_opc : Začátek
2025-12-09 16:02:47.591 - DEBUG - cteni_z_opc : 0
2025-12-09 16:02:47.600 - DEBUG - zapis_do_opc : Začátek
2025-12-09 16:02:47.604 - DEBUG - cteni_z_opc : 0
2025-12-09 16:02:47.615 - DEBUG - zapis_do_opc : Začátek
2025-12-09 16:02:47.619 - DEBUG - zapis_do_opc : 1
2025-12-09 16:02:47.635 - DEBUG - zapis_do_opc : 1
2025-12-09 16:02:57.659 - DEBUG - cteni_z_opc : Začátek
2025-12-09 16:02:57.667 - DEBUG - cteni_z_opc : Začátek
2025-12-09 16:02:57.683 - DEBUG - cteni_z_opc : 1
2025-12-09 16:02:57.686 - DEBUG - zapis_do_opc : Začátek
2025-12-09 16:02:57.688 - DEBUG - cteni_z_opc : 1
2025-12-09 16:02:57.696 - DEBUG - zapis_do_opc : Začátek
2025-12-09 16:02:57.700 - DEBUG - zapis_do_opc : 2
2025-12-09 16:02:57.710 - DEBUG - zapis_do_opc : 2
2025-12-09 16:03:07.740 - DEBUG - cteni_z_opc : Začátek
2025-12-09 16:03:07.741 - DEBUG - cteni_z_opc : Začátek
2025-12-09 16:03:07.759 - DEBUG - cteni_z_opc : 2
2025-12-09 16:03:07.762 - DEBUG - cteni_z_opc : 2
2025-12-09 16:03:07.763 - DEBUG - zapis_do_opc : Začátek
2025-12-09 16:03:07.766 - DEBUG - zapis_do_opc : Začátek
2025-12-09 16:03:07.791 - DEBUG - zapis_do_opc : 3
2025-12-09 16:03:07.792 - DEBUG - zapis_do_opc : 3
2025-12-09 16:03:17.833 - DEBUG - cteni_z_opc : Začátek
2025-12-09 16:03:17.833 - DEBUG - cteni_z_opc : Začátek
2025-12-09 16:03:17.866 - DEBUG - cteni_z_opc : 3
2025-12-09 16:03:17.871 - DEBUG - cteni_z_opc : 3
2025-12-09 16:03:17.873 - DEBUG - zapis_do_opc : Začátek
2025-12-09 16:03:17.879 - DEBUG - zapis_do_opc : Začátek
2025-12-09 16:03:17.894 - DEBUG - zapis_do_opc : 4
2025-12-09 16:03:17.901 - DEBUG - zapis_do_opc : 4
2025-12-09 16:03:27.936 - DEBUG - cteni_z_opc : Začátek
2025-12-09 16:03:27.937 - DEBUG - cteni_z_opc : Začátek
2025-12-09 16:03:27.961 - DEBUG - cteni_z_opc : 4
2025-12-09 16:03:27.962 - DEBUG - cteni_z_opc : 4
2025-12-09 16:03:27.969 - DEBUG - zapis_do_opc : Začátek
2025-12-09 16:03:27.970 - DEBUG - zapis_do_opc : Začátek
